CB1	CB2	Jaccard_score
114_243522_55179	114_32339_149108	0.416667
114_32339_149108	32339_114_243522	0.857143
114_32339_149108	68126_55179_243522	0.500000
114_32339_149108	68126_123491_236162	0.375000
114_32339_149108	55179_68126_123491	0.500000
114_32339_149108	172588_396_236157	0.444444
114_32339_149108	396_236157_149108	0.400000
114_72260_24610	24610_202235_68316	0.416667
114_72260_24610	72260_24610_202235	0.714286
114_72260_169179	72260_114_159866	0.300000
114_104803_240726	28783_37538_149108	0.272727
114_104803_240726	32497_2981_74905	0.583333
114_104803_240726	75727_42062_207465	0.400000
114_104803_240726	134299_37537_240726	0.500000
114_104803_240726	37537_240726_104803	0.700000
104803_114_185507	114_104803_240726	0.714286
114_104803_240726	37537_134299_207426	0.625000
114_104803_240726	28783_207426_134299	0.625000
114_112319_149108	72260_114_112319	0.466667
114_134330_59522	134331_240726_135275	0.307692
114_134330_59522	396_149108_28783	0.454545
114_159866_149108	72260_114_159866	0.307692
114_243522_55179	32339_114_243522	0.500000
114_243522_55179	68126_55179_243522	0.666667
114_243522_55179	68126_123491_236162	0.454545
114_243522_55179	55179_68126_123491	0.545455
114_243522_55179	172588_396_236157	0.384615
114_243522_55179	396_236157_149108	0.461538
114_243522_55179	92567_3735_240592	0.333333
148_193134_42156	193134_148_243604	0.750000
134647_176032_240181	264_185363_193661	0.454545
264_185363_193661	267_240181_176032	0.714286
264_185363_193661	267_134645_240182	0.714286
185363_264_228499	264_185363_193661	0.833333
167005_193661_185363	264_185363_193661	0.833333
202838_229297_229299	264_185363_193661	0.375000
134645_267_240181	264_185363_193661	0.714286
228495_188628_244356	267_134645_240182	0.250000
134647_176032_240181	267_134645_240182	0.600000
267_134645_240182	267_240181_176032	1.000000
185363_264_228499	267_134645_240182	0.833333
167005_193661_185363	267_134645_240182	0.833333
202838_229297_229299	267_134645_240182	0.571429
134645_267_240181	267_134645_240182	1.000000
228495_188628_244356	267_240181_176032	0.250000
134647_176032_240181	267_240181_176032	0.600000
185363_264_228499	267_240181_176032	0.833333
167005_193661_185363	267_240181_176032	0.833333
202838_229297_229299	267_240181_176032	0.571429
134645_267_240181	267_240181_176032	1.000000
387_171759_184724	4863_184724_171759	1.000000
107846_4863_184724	387_171759_184724	1.000000
134331_240726_135275	396_149108_28783	0.416667
28783_37538_149108	396_149108_37538	0.857143
134299_37537_240726	396_149108_37538	0.333333
396_149108_112319	72260_114_112319	0.250000
396_149108_216487	93383_32601_190390	0.333333
396_149108_216487	396_172588_93383	0.421053
32601_93383_172588	396_149108_216487	0.388889
32403_216487_149108	396_149108_216487	0.411765
32601_9139_172588	396_172588_9139	0.529412
396_172588_9139	9139_32601_190390	0.428571
149108_396_172588	396_172588_9139	0.250000
396_172588_93383	93383_32601_190390	0.615385
32601_93383_172588	396_172588_93383	0.692308
32403_216487_149108	396_172588_93383	0.400000
149108_396_172588	396_172588_159763	0.261438
159763_32601_190390	396_172588_159763	0.288591
32601_159763_172588	396_172588_159763	0.381944
32339_114_243522	396_236157_149108	0.363636
396_236157_149108	68126_55179_243522	0.307692
396_236157_149108	68126_123491_236162	0.300000
396_236157_149108	55179_68126_123491	0.272727
172588_396_236157	396_236157_149108	0.666667
455_112238_143461	457_68393_195301	0.250000
455_112238_143461	76749_149029_112244	0.266667
455_112238_143461	53728_37656_194968	0.307692
37656_194968_212695	455_112238_143461	0.307692
455_112238_143461	68384_212691_195299	0.250000
112743_134181_151500	455_112238_143461	0.266667
134181_151500_229009	455_112238_143461	0.285714
37656_53728_68393	455_112238_143461	0.454545
455_112238_143461	56856_143461_112238	1.000000
143461_56856_149510	455_112238_143461	0.800000
455_112238_143461	56856_149510_72793	0.545455
457_68393_195301	56856_143461_112238	0.250000
462_123425_87029	76380_76379_238158	0.300000
462_123425_87029	76379_76380_122156	0.300000
45115_462_123425	462_123425_143154	0.416667
473_51047_149479	51047_473_75694	0.400000
473_51047_149479	51047_149479_211339	1.000000
473_75694_134777	51047_236334_122373	0.666667
193775_201053_193776	477_193775_201053	0.285714
176577_481_219615	477_193775_201053	0.500000
50376_50377_80472	520_112558_80465	0.777778
50377_80472_107576	520_112558_80465	0.777778
50375_50374_80470	520_112558_80465	0.857143
50374_80470_159599	520_112558_80465	0.714286
112558_520_209289	520_112558_80465	0.714286
50378_74057_74058	520_112558_80465	0.272727
520_112558_80465	80474_112562_107576	0.454545
38966_80474_112562	520_112558_80465	0.454545
50375_229141_50376	520_112558_80465	0.666667
50377_50376_229141	520_112558_80465	0.666667
107579_169062_112552	520_112558_80465	0.444444
520_112558_80465	80472_107576_112562	0.666667
112558_80465_229191	520_112558_80465	0.750000
520_112558_80465	80465_229191_84322	0.444444
50374_50375_229141	520_112558_80465	0.714286
169306_84322_229191	520_112558_80465	0.500000
134556_74951_195015	585_134556_74951	1.000000
681_240259_240258	681_91115_59018	0.666667
59018_682_59234	681_91115_59018	0.666667
59234_53991_59235	681_91115_59018	0.666667
32176_240258_240259	681_91115_59018	0.666667
53991_59235_59236	681_91115_59018	0.666667
59018_682_59234	681_240259_240258	1.000000
59234_53991_59235	681_240259_240258	0.666667
32176_240258_240259	681_240259_240258	1.000000
53991_59235_59236	681_240259_240258	0.666667
56973_80884_156195	691_156631_112208	0.333333
691_156631_112208	80884_156195_156196	0.250000
100526_112208_156631	691_156631_112208	0.714286
55266_691_156631	691_156631_112208	1.000000
51913_236287_219738	708_24610_73025	0.285714
153017_51913_236287	708_24610_73025	0.285714
51913_153017_234735	708_24610_73025	0.266667
708_24610_73025	98850_234735_153017	0.266667
24610_708_228514	708_24610_73025	0.454545
24610_123746_75288	708_24610_123746	0.714286
184856_210846_193636	726_76652_193636	0.550000
726_76652_193636	76652_193636_210846	0.550000
13155_204949_56444	809_240177_240176	0.300000
32703_210601_144063	809_240177_240176	0.250000
74308_223783_212186	809_240177_240176	0.250000
107091_74308_223783	809_240177_240176	0.250000
102989_212308_102990	809_240177_240176	0.333333
210601_32703_212309	809_240177_240176	0.333333
204949_13155_212309	809_240177_240176	0.375000
