vOTU_ID	genofeature_module
AB016282	Twinkle
AB255436	DnaB
AB366653	F762_RecD_SNF2_UvsW_DnaB_RecA
AB370268	DnaB
AB451219	F762
AB597179	Y762_Gp4
AB605730	F762_L438_SNF2_UvsW_Gp41_RecA
AB712291	L762
AB720063	F762
AB767244	UvrB
AB775548	UvsW_Twinkle
AB775549	Y762_Gp4
AB854109	F762
AB910393	L762_SNF2
AB920995	F762
AB967974	Twinkle
AB983711	F762
AF020713	L438_DnaB
AF068845	Twinkle
AF069308	DnaB
AF069529	DnaB
AF074945	DnaB
AF115102	UvrB_Twinkle
AF115103	UvrB_Twinkle
AF158600	UvrB_Twinkle
AF189021	Y762_P438_Gp4
AF222060	P438
AF271693	F762_RecB
AF323671	Twinkle
AF335538	DnaB
AF338467	Y762_P438_Gp4
AF503408	SNF2_DnaB
AF543311	L762_UvsW
AF547987	DnaB
AJ131519	RecG_Twinkle
AJ251789	UvrB_Twinkle
AJ298298	DnaB
AJ312240	UvrB_Twinkle
AJ560763	DnaB
AJ630128	L438_UvsW_Gp41_UvsX
AJ972879	Dda
AM156909	UvrB_Twinkle
AM265638	F762
AM265639	F762
AM491472	UvrB_Twinkle
AP008979	F762
AP008983	RecB_RecD_UvrD
AP008986	L762_RecG
AP011616	F762_P438_DnaB_RecA
AP011617	F762_P438_DnaB_RecA
AP012530	DnaB
AP014684	UvrB_Twinkle
AP014693	L438
AP014714	L438_Dda_UvsW_Gp41_UvsX
AP014858	L438_UvrD
AP014887	RecG
AP014927	L438
AP017924	L438_SNF2
AP017972	SNF2
AP018361	UvrB_Twinkle
AP018399	L438_UvsW_Gp41_RecA
AP018476	F762_P438_Gp4
AP018486	F762_P438_Gp4
AP019415	DnaB
AP019417	L438_Gp4
AP019521	L438_Dda_UvsW_Gp41_UvsX
AP019525	L438_SNF2_UvsW
AP019527	UvrB
AP019561	DnaB
AP019562	DnaB
AY052766	DnaB
AY082070	DnaB
AY095314	F762
AY129339	SNF2_Twinkle
AY131267	DnaB
AY236756	UvrB
AY266303	Dda_UvsW_Gp41_UvsX
AY288927	Gp4
AY299121	F762
AY308796	UvrB_Twinkle
AY357582	L762_SNF2
AY369265	L762_UvsW
AY526908	L762_SNF2_Twinkle
AY575774	H762_RecD
AY576796	H762_UvrB
AY587007	F762_L438_DnaB
AY605181	SNF2_Twinkle
AY616033	UvsW_Twinkle
AY616446	UvsW
AY682195	F762_UvsW_Gp41_UvsX
AY772740	RecG
AY939843	Gp4
AY940168	L438_UvsW_Gp41_UvsX
AY954954	L762_SNF2
AY954955	SNF2_DnaB
AY954959	DnaB
AY954960	DnaB
AY954962	DnaB
AY954964	DnaB
AY954968	DnaB
AY967407	L438_Dda_UvsW_Gp41_UvsX
AY986977	L762_SNF2
BK059895	DnaB
BK061312	SNF2
BK061476	DnaB
BK061477	DnaB
BK061480	DnaB
BK061585	SNF2
BK061587	DnaB
