Contig_id	Status	Population_number
Ga0531459_000001	REP	1
Ga0531455_000001	REP	2
Ga0531459_000012	MEM	2
Ga0531459_000031	MEM	2
Ga0531457_000001	REP	3
Ga0531461_000032	MEM	3
Ga0531461_000096	MEM	3
Ga0531461_000150	MEM	3
Ga0531461_000138	MEM	3
Ga0531459_000002	REP	4
Ga0531459_000003	REP	5
Ga0531459_000004	REP	6
Ga0531457_000002	REP	7
Ga0531459_000005	REP	8
Ga0531459_000006	REP	9
Ga0531459_000007	REP	10
Ga0531461_000001	REP	11
Ga0531457_000185	MEM	11
Ga0531457_000260	MEM	11
Ga0531457_000790	MEM	11
Ga0531464_000001	REP	12
Ga0531462_000069	MEM	12
Ga0531463_000030	MEM	12
Ga0531465_000137	MEM	12
Ga0531465_000288	MEM	12
Ga0531457_000003	REP	13
Ga0531465_000001	REP	14
Ga0531464_000144	MEM	14
Ga0531464_000420	MEM	14
Ga0531462_000324	MEM	14
Ga0531462_000358	MEM	14
Ga0531462_000453	MEM	14
Ga0531459_000008	REP	15
Ga0531464_000002	REP	16
Ga0531462_000054	MEM	16
Ga0531462_000541	MEM	16
Ga0531462_000562	MEM	16
Ga0531465_000476	MEM	16
Ga0531460_000001	REP	17
Ga0531456_000004	MEM	17
Ga0531464_000003	REP	18
Ga0531462_000104	MEM	18
Ga0531462_000045	MEM	18
Ga0531459_000009	REP	19
Ga0531457_000004	REP	20
Ga0531459_000010	REP	21
Ga0531455_000028	MEM	21
Ga0531455_000124	MEM	21
Ga0531455_000277	MEM	21
Ga0531462_000001	REP	22
Ga0531464_000006	MEM	22
Ga0531459_000011	REP	23
Ga0531464_000004	REP	24
Ga0531465_000016	MEM	24
Ga0531462_000097	MEM	24
Ga0531462_000102	MEM	24
Ga0531457_000241	MEM	24
Ga0531465_000111	MEM	24
Ga0531457_000344	MEM	24
Ga0531457_000353	MEM	24
Ga0531456_000001	REP	25
Ga0531460_000223	MEM	25
Ga0531460_000235	MEM	25
Ga0531460_000343	MEM	25
Ga0531464_000005	REP	26
Ga0531462_000005	MEM	26
Ga0531456_000002	REP	27
Ga0531460_000347	MEM	27
Ga0531457_000005	REP	28
Ga0531462_000002	REP	29
Ga0531465_000012	MEM	29
Ga0531464_000187	MEM	29
Ga0531464_000928	MEM	29
Ga0531464_001312	MEM	29
Ga0531462_000003	REP	30
Ga0531464_000156	MEM	30
Ga0531465_000330	MEM	30
Ga0531464_000807	MEM	30
Ga0531459_000013	REP	31
Ga0531464_000007	REP	32
Ga0531462_000161	MEM	32
Ga0531462_000124	MEM	32
Ga0531459_000014	REP	33
Ga0531459_000015	REP	34
Ga0531459_000016	REP	35
Ga0531464_000008	REP	36
Ga0531459_000017	REP	37
Ga0531459_000018	REP	38
Ga0531455_000002	REP	39
Ga0531459_000057	MEM	39
Ga0531459_000987	MEM	39
Ga0531456_000003	REP	40
Ga0531460_000036	MEM	40
Ga0531460_000236	MEM	40
Ga0531462_000004	REP	41
Ga0531464_000009	MEM	41
Ga0531464_000010	REP	42
Ga0531465_000437	MEM	42
Ga0531465_000612	MEM	42
Ga0531460_000002	REP	43
Ga0531456_000151	MEM	43
Ga0531456_000056	MEM	43
Ga0531459_000019	REP	44
Ga0531455_000003	REP	45
Ga0531459_000020	REP	46
Ga0531459_000021	REP	47
Ga0531455_000290	MEM	47
Ga0531464_000011	REP	48
Ga0531465_000428	MEM	48
Ga0531462_000644	MEM	48
Ga0531464_000012	REP	49
Ga0531462_000668	MEM	49
Ga0531459_000022	REP	50
Ga0531455_000005	MEM	50
Ga0531455_000226	MEM	50
Ga0531459_000023	REP	51
Ga0531459_000024	REP	52
Ga0531459_000025	REP	53
Ga0531464_000013	REP	54
Ga0531462_000008	MEM	54
Ga0531465_000004	MEM	54
Ga0531456_000354	MEM	54
Ga0531457_000006	REP	55
Ga0531460_000003	REP	56
Ga0531456_000810	MEM	56
Ga0531455_000004	REP	57
Ga0531462_000006	REP	58
Ga0531464_000019	MEM	58
Ga0531465_000033	MEM	58
Ga0531457_000704	MEM	58
Ga0531459_000026	REP	59
Ga0531455_000119	MEM	59
Ga0531455_000075	MEM	59
Ga0531455_000320	MEM	59
Ga0531459_000027	REP	60
Ga0531464_000014	REP	61
Ga0531462_000208	MEM	61
Ga0531465_000223	MEM	61
Ga0531462_000432	MEM	61
Ga0531465_000404	MEM	61
Ga0531459_000028	REP	62
Ga0531462_000007	REP	63
Ga0531460_000004	REP	64
Ga0531456_000040	MEM	64
Ga0531456_000219	MEM	64
Ga0531459_000708	MEM	64
Ga0531459_000029	REP	65
Ga0531459_000030	REP	66
Ga0531454_000001	REP	67
Ga0531461_000002	REP	68
Ga0531457_000020	MEM	68
Ga0531464_000015	REP	69
Ga0531462_000021	MEM	69
Ga0531464_000016	REP	70
Ga0531459_000032	REP	71
Ga0531464_000017	REP	72
Ga0531465_000010	MEM	72
Ga0531465_000596	MEM	72
Ga0531462_000009	REP	73
Ga0531464_000023	MEM	73
Ga0531465_000296	MEM	73
Ga0531465_000591	MEM	73
Ga0531464_000018	REP	74
Ga0531462_000062	MEM	74
Ga0531462_000482	MEM	74
Ga0531454_000002	REP	75
Ga0531459_000137	MEM	75
Ga0531459_001021	MEM	75
Ga0531465_000002	REP	76
Ga0531464_000080	MEM	76
Ga0531457_000161	MEM	76
Ga0531462_000190	MEM	76
Ga0531463_000061	MEM	76
Ga0531462_000366	MEM	76
Ga0531463_000095	MEM	76
Ga0531464_000728	MEM	76
Ga0531463_000116	MEM	76
Ga0531457_000552	MEM	76
Ga0531461_000158	MEM	76
Ga0531457_000683	MEM	76
Ga0531462_000010	REP	77
Ga0531464_000062	MEM	77
Ga0531465_000321	MEM	77
Ga0531459_000033	REP	78
Ga0531455_000274	MEM	78
Ga0531455_000399	MEM	78
Ga0531456_000005	REP	79
Ga0531460_000010	MEM	79
Ga0531456_000006	REP	80
Ga0531460_000005	MEM	80
Ga0531457_000007	REP	81
Ga0531454_000003	REP	82
Ga0531458_00001	MEM	82
Ga0531457_000008	REP	83
Ga0531458_00002	REP	84
Ga0531454_000008	MEM	84
Ga0531459_000922	MEM	84
Ga0531462_000011	REP	85
Ga0531464_000021	MEM	85
Ga0531465_000019	MEM	85
Ga0531457_000378	MEM	85
Ga0531459_000034	REP	86
Ga0531455_000398	MEM	86
Ga0531460_000006	REP	87
Ga0531456_000556	MEM	87
Ga0531456_000880	MEM	87
Ga0531459_000035	REP	88
Ga0531462_000012	REP	89
Ga0531465_000003	MEM	89
Ga0531464_000020	MEM	89
Ga0531459_000036	REP	90
Ga0531455_000067	MEM	90
Ga0531464_000022	REP	91
Ga0531462_000013	MEM	91
Ga0531465_000496	MEM	91
Ga0531465_000571	MEM	91
Ga0531459_000037	REP	92
Ga0531459_000038	REP	93
Ga0531460_000007	REP	94
Ga0531455_000032	MEM	94
Ga0531458_00005	MEM	94
Ga0531458_00016	MEM	94
Ga0531459_000532	MEM	94
Ga0531454_000063	MEM	94
Ga0531454_000047	MEM	94
Ga0531454_000229	MEM	94
Ga0531459_000039	REP	95
