vOTU_ID	Module	Source
AB016282	Twinkle	ENA
AB255436	DnaB	ENA
AB366653	F762_RecD_SNF2_UvsW_DnaB_RecA	ENA
AB370268	DnaB	ENA
AB451219	F762	ENA
AB597179	Y762_Gp4	ENA
AB605730	F762_L438_SNF2_UvsW_Gp41_RecA	ENA
AB712291	L762	ENA
AB720063	F762	ENA
AB767244	UvrB	ENA
AB775548	UvsW_Twinkle	ENA
AB775549	Y762_Gp4	ENA
AB854109	F762	ENA
AB910393	L762_SNF2	ENA
AB920995	F762	ENA
AB967974	Twinkle	ENA
AB983711	F762	ENA
AF020713	L438_DnaB	ENA
AF068845	Twinkle	ENA
AF069308	DnaB	ENA
AF069529	DnaB	ENA
AF074945	DnaB	ENA
AF115102	UvrB_Twinkle	ENA
AF115103	UvrB_Twinkle	ENA
AF158600	UvrB_Twinkle	ENA
AF189021	Y762_P438_Gp4	ENA
AF222060	P438	ENA
AF271693	F762_RecB	ENA
AF323671	Twinkle	ENA
AF335538	DnaB	ENA
AF338467	Y762_P438_Gp4	ENA
AF503408	SNF2_DnaB	ENA
AF543311	L762_UvsW	ENA
AF547987	DnaB	ENA
AJ131519	RecG_Twinkle	ENA
AJ251789	UvrB_Twinkle	ENA
AJ298298	DnaB	ENA
AJ312240	UvrB_Twinkle	ENA
AJ560763	DnaB	ENA
AJ630128	L438_UvsW_UvsW_Gp41_UvsX	ENA
AJ972879	Dda	ENA
AM156909	UvrB_Twinkle	ENA
AM265638	F762	ENA
AM265639	F762	ENA
AM491472	UvrB_Twinkle	ENA
AP008979	F762	ENA
AP008983	RecB_RecD_UvrD	ENA
AP008986	L762_RecG	ENA
AP011616	F762_P438_DnaB_RecA	ENA
AP011617	F762_P438_DnaB_RecA	ENA
AP012530	DnaB	ENA
AP014684	UvrB_Twinkle	ENA
AP014693	L438	ENA
AP014714	L438_Dda_UvsW_Gp41_UvsX	ENA
AP014858	L438_UvrD	ENA
AP014887	RecG	ENA
AP014927	L438	ENA
AP017924	L438_SNF2	ENA
AP017972	SNF2	ENA
AP018361	UvrB_Twinkle	ENA
AP018399	L438_UvsW_Gp41_RecA	ENA
AP018476	F762_P438_Gp4	ENA
AP018486	F762_P438_Gp4	ENA
AP019415	DnaB	ENA
AP019417	L438_Gp4	ENA
AP019521	L438_Dda_UvsW_Gp41_UvsX	ENA
AP019525	L438_SNF2_UvsW	ENA
AP019527	UvrB	ENA
AP019561	DnaB	ENA
AP019562	DnaB	ENA
AY052766	DnaB	ENA
AY082070	DnaB	ENA
AY095314	F762	ENA
AY129339	SNF2_Twinkle	ENA
AY131267	DnaB	ENA
AY236756	UvrB	ENA
AY266303	Dda_UvsW_Gp41_UvsX	ENA
AY288927	Gp4	ENA
AY299121	F762	ENA
AY308796	UvrB_Twinkle	ENA
AY357582	L762_SNF2	ENA
AY369265	L762_UvsW	ENA
AY526908	L762_SNF2_Twinkle	ENA
AY575774	H762_RecD	ENA
AY576796	H762_UvrB	ENA
AY587007	F762_L438_DnaB_DnaB	ENA
AY605181	SNF2_Twinkle	ENA
AY616033	UvsW_Twinkle	ENA
AY616446	UvsW	ENA
AY682195	F762_UvsW_Gp41_UvsX	ENA
AY772740	RecG	ENA
AY939843	Gp4	ENA
AY940168	L438_UvsW_Gp41_UvsX	ENA
AY954954	L762_SNF2	ENA
AY954955	SNF2_DnaB	ENA
AY954959	DnaB	ENA
AY954960	DnaB	ENA
AY954962	DnaB	ENA
AY954964	DnaB	ENA
AY954968	DnaB	ENA
AY967407	L438_Dda_UvsW_Gp41_UvsX	ENA
AY986977	L762_SNF2	ENA
BK059895	DnaB	ENA
BK061312	SNF2	ENA
BK061476	DnaB	ENA
BK061477	DnaB	ENA
BK061480	DnaB	ENA
BK061585	SNF2	ENA
BK061587	DnaB	ENA
CP000711	DnaB	ENA
CP002889	UvrB_Twinkle	ENA
CP003186	SNF2	ENA
CP011103	L762_SNF2	ENA
CP019719	DnaB	ENA
CP027117	F762_L438_SNF2_DnaB_UvsX	ENA
CP051272	DnaB	ENA
CP051279	DnaB_DnaB	ENA
CP053388	L438_UvrB_Gp41_RecA	ENA
CP054387	L438_RecG_Gp41_RecA	ENA
CP058330	L438_UvrB_Gp41_RecA	ENA
CP063968	L762_SNF2	ENA
CP067347	RecB	ENA
CP067352	RecB	ENA
CP069348	RecB	ENA
CP101896	L438_UvrB_Gp41_RecA	ENA
CP115737	DnaB	ENA
DQ003639	RecG_Twinkle	ENA
DQ029335	Y762_Gp4	ENA
DQ121662	UvsW_Twinkle	ENA
DQ149023	L438_UvsW_Gp41_UvsX	ENA
DQ163912	DnaB	ENA
DQ372923	DnaB	ENA
DQ398043	F762_P438	ENA
DQ398044	L762_UvsW	ENA
DQ499600	L438_SNF2_Twinkle	ENA
DQ500118	UvrB	ENA
DQ535032	F762	ENA
DQ777876	F762	ENA
DQ831957	DnaB	ENA
DQ834250	DnaB	ENA
DQ864624	L762_SNF2_Twinkle	ENA
DQ875742	F762_Gp4	ENA
EF057797	Twinkle	ENA
EF153632	RecD_SNF2	ENA
EF177456	L762_SNF2	ENA
EF372997	Y762_V438_Gp4	ENA
EF523948	UvrB	ENA
EF583821	L438_PcrA_SNF2_DnaB_RecA_RecA	ENA
EU197055	L438_SNF2	ENA
EU409559	UvrB_Twinkle	ENA
EU734171	Y762_Gp4	ENA
EU734172	Y762_Gp4	ENA
EU734173	Y762_Gp4	ENA
EU734174	Gp4	ENA
EU744248	F762	ENA
EU744250	F762_P438_Gp4	ENA
EU770221	L762_UvsW	ENA
EU770222	SNF2_Twinkle	ENA
EU794049	L762_SNF2	ENA
EU826466	SNF2_DnaB_RecA	ENA
EU861004	DnaB	ENA
EU863409	L438_Dda_UvsW_Gp41_UvsX	ENA
EU887664	DnaB	ENA
FJ174693	SNF2	ENA
FJ194439	Y762_Gp4	ENA
FJ226752	UvrB_Twinkle	ENA
FJ591094	F762_P438_Dda	ENA
FJ750948	L762_SNF2	ENA
FJ822135	F762_UvsW_Gp41_RecA	ENA
FJ896200	F762	ENA
FJ982340	DnaB	ENA
FM201281	RecD_SNF2	ENA
FM207411	L438_UvsW_Gp41_UvsX	ENA
FN263372	F762	ENA
FN422398	F762_Dda	ENA
FN594518	F762	ENA
FN667788	L438_RecB_Gp41	ENA
FN997652	L762_SNF2_Twinkle	ENA
FO818745	SNF2_DnaB	ENA
FQ482085	DnaB	ENA
FQ482086	Gp4	ENA
FR667955	Gp4	ENA
FR687252	F762	ENA
FR751545	F762_DnaB	ENA
FR823298	Y762_Gp4	ENA
GQ241246	SNF2	ENA
GQ334450	P438_DnaB	ENA
GQ357915	I438_UvsW_Gp41	ENA
GQ379227	F762_Twinkle	ENA
GQ398772	DnaB	ENA
GQ403788	L762_SNF2	ENA
GQ413937	Y762_Gp4	ENA
GQ413938	F762	ENA
GQ421471	SNF2_Twinkle	ENA
GQ422450	DnaB	ENA
GQ478088	L762_SNF2	ENA
GQ502199	L762_SNF2	ENA
GU071092	L438_UvsW_Gp41_UvsX	ENA
GU071094	L438_RecB_UvsW_Gp41_UvsX	ENA
GU071095	L438_UvsW_UvsW_Gp41_UvsX	ENA
GU071097	L438_UvsW_Gp41_UvsX	ENA
GU071098	L438_UvsW_Gp41_UvsX	ENA
GU071099	L438_UvsW_Gp41_UvsX	ENA
GU071100	Y762_V438_Gp4	ENA
GU071101	L438_UvsW_UvsW_Gp41_UvsX	ENA
GU071102	V438_Gp4	ENA
GU071103	L438_UvsW_UvsW_Gp41_UvsX	ENA
GU071104	V438_Gp4	ENA
GU071106	L438_UvsW_Gp41_UvsX	ENA
GU071107	Gp4	ENA
GU075905	L438_UvsW_Gp41_UvsX	ENA
GU169904	L762_Y762_L438_SNF2_Gp4	ENA
GU196277	L762_SNF2	ENA
GU196278	L762_SNF2	ENA
GU196281	L762_SNF2	ENA
GU247132	F762_RecB	ENA
GU296433	RecB_UvsW_DnaB_UvsX	ENA
GU323318	L438_Dda_UvsW_Gp41_UvsX	ENA
GU396103	L438_Dda_UvsW_Gp41_UvsX	ENA
GU557055	F762_P438_DnaB	ENA
GU568037	DnaB	ENA
GU580940	SNF2	ENA
GU580941	Twinkle	ENA
GU580942	Twinkle	ENA
GU580943	L762_UvsW	ENA
GU583987	Y762_Gp4	ENA
GU815339	Twinkle	ENA
GU903191	UvsW_Twinkle	ENA
GU911303	DnaB	ENA
GU911519	L438_Dda_UvsW_Gp41	ENA
GU936714	P438_DnaB	ENA
GU936715	SNF2	ENA
Ga0531454_000001	L762_PcrA_SNF2	BATS
Ga0531454_000003	F762_L438_DnaB	BATS
Ga0531454_000007	Gp4	BATS
Ga0531454_000009	F762_DnaB	BATS
Ga0531454_000010	L762_PcrA_SNF2	BATS
Ga0531454_000011	DnaB	BATS
Ga0531454_000012	L762_PcrA_SNF2	BATS
Ga0531454_000013	DnaB	BATS
Ga0531454_000015	DnaB	BATS
Ga0531454_000016	Y762_L438_Gp4	BATS
Ga0531454_000018	F762_P438_DnaB	BATS
Ga0531454_000019	Y762_L438_Gp4	BATS
Ga0531454_000022	Gp4	BATS
Ga0531454_000023	F762_DnaB	BATS
Ga0531454_000024	F762_DnaB	BATS
Ga0531454_000025	L762_UvrD_SNF2	BATS
Ga0531454_000028	L762_PcrA_SNF2	BATS
Ga0531454_000030	Gp4	BATS
Ga0531454_000032	L762_PcrA_SNF2	BATS
Ga0531454_000034	Y762_L438_Gp4	BATS
Ga0531454_000038	SNF2	BATS
Ga0531454_000039	F762_P438_DnaB	BATS
Ga0531454_000043	L762_RecD_SNF2	BATS
Ga0531454_000044	F762_A438_DnaB	BATS
Ga0531454_000046	DnaB	BATS
Ga0531454_000049	L762_PcrA_SNF2	BATS
Ga0531454_000052	F762_DnaB	BATS
Ga0531454_000057	PcrA_SNF2	BATS
Ga0531454_000065	L762_PcrA_SNF2	BATS
Ga0531454_000066	SNF2	BATS
Ga0531454_000071	SNF2	BATS
Ga0531454_000072	L438	BATS
Ga0531454_000077	DnaB	BATS
Ga0531454_000086	L762_PcrA_SNF2	BATS
Ga0531454_000088	F762_P438_DnaB	BATS
Ga0531454_000092	DnaB	BATS
Ga0531454_000094	SNF2	BATS
Ga0531454_000095	F762_P438_DnaB	BATS
Ga0531454_000101	L762	BATS
Ga0531454_000103	L762_SNF2	BATS
Ga0531454_000109	PcrA_SNF2	BATS
Ga0531454_000121	Y762_P438_Gp4	BATS
Ga0531454_000123	DnaB	BATS
Ga0531454_000126	PcrA_SNF2	BATS
Ga0531454_000127	Gp4	BATS
Ga0531454_000130	I438	BATS
Ga0531454_000136	Twinkle	BATS
Ga0531454_000141	Y762_Gp4	BATS
