ID	enriched_cb_chain	Syntenome
Ga0531454_000001	(9139_32601_190390, 13644_24667_240436, 24610_202235_68316, 24667_13644_51562, 32601_9139_172588, 32601_190390_172592, 50405_24669_161208, 72260_114_112319, 76380_92161_144349, 92161_76380_142274, 92161_144349_244445)	0
Ga0531454_000002	(17365_144617_122939, 17365_234857_80765, 24710_153303_211267, 24710_159289_243554, 42156_210425_204783, 42156_243823_243824, 72708_243824_243823, 115091_159196_211227, 144617_17365_234857, 153303_24710_159289, 193134_204783_210425, 210425_42156_243823, 217781_134970_240253)	1
Ga0531454_000003	(462_123425_87029, 144872_240408_215942, 176647_144872_240408)	2
Ga0531454_000004	(17365_144617_122939, 17365_234857_80765, 42156_243823_243824, 115091_159196_211227, 134824_193134_149422, 144617_17365_234857, 193134_134824_210425, 217781_134970_240253)	1
Ga0531454_000007	(17365_202778_185588, 17365_240523_122939, 202778_17365_240523)	1
Ga0531454_000009	(87029_123425_210030, 194941_133587_215942)	10
Ga0531454_000010	(114_72260_24610, 396_172588_9139, 24610_202235_68316, 32601_9139_172588, 72260_24610_202235, 76380_92161_144349, 92161_76380_142274, 149108_396_172588)	0
Ga0531454_000011	(2659_84459_144084, 3421_168199_3425, 34081_38656_53307, 38656_53307_201980, 60342_60343_219769, 60343_219769_238090, 92776_182933_173723, 92776_223885_202274, 134516_173723_182933, 173723_134516_223884, 176654_238090_219769, 182933_92776_223885)	4
Ga0531454_000012	(396_172588_9139, 172588_9139_190390)	0
Ga0531454_000013	(3425_60237_211774, 60237_3425_168199, 92776_223885_202274, 92776_243341_173723, 134516_173723_243341, 173723_134516_223884, 176654_238090_219769, 202274_175913_223886, 223885_92776_243341)	4
Ga0531454_000014	(20866_74330_238492, 20866_112022_101292, 59981_101275_59983, 59981_101293_101292, 74330_20866_112022, 74330_238492_212127, 101275_59981_101293, 101275_59983_240043, 101293_101292_112022, 112046_145375_202138)	23
Ga0531454_000015	(851_80631_93109)	6
Ga0531454_000016	(2615_75065_84127, 53869_84127_75065, 57869_219105_196832, 57869_237963_150780, 101843_229451_185716, 219105_57869_237963)	7
Ga0531454_000018	(37370_193378_104612, 50186_134779_244174, 92172_184702_156667, 112197_50186_134779)	8
Ga0531454_000019	(28875_144616_210695, 64357_185716_229451, 144616_28875_234350, 150780_64357_185716)	7
Ga0531454_000020	(851_24859_93109, 851_216465_107846, 24859_851_216465, 47347_107846_216465, 74243_234371_127693)	10
Ga0531454_000022	(211220_202209_219157)	11
Ga0531454_000023	(32484_111943_38644, 56269_56269_56269, 56269_56269_131867, 80982_32484_111943)	10
Ga0531454_000024	(76379_76380_122156, 76380_76379_238158, 144872_176647_156667, 144872_240408_215942, 147772_238826_185507, 176647_144872_240408, 176647_156667_184702)	2
Ga0531454_000025	(396_172588_159763, 76380_92161_144349)	0
