Genome_id	Genbank_id	Status	Population_number
JN638751	JN638751	REP	1
MF403008	MF403008	REP	2
MF360958	MF360958	REP	3
OM876856	OM876856	REP	4
KJ645900	KJ645900	MEM	4
MH494197	MH494197	REP	5
PP777464	PP777464	MEM	5
MH791411	MH791411	MEM	5
PQ471515	PQ471515	MEM	5
OQ718158	OQ718158	MEM	5
AP018399	AP018399	REP	6
MW822008	MW822008	REP	7
OQ361627	OQ361627	REP	8
OR062527	OR062527	MEM	8
OR062524	OR062524	MEM	8
MH160766	MH160766	MEM	8
OP555982	OP555982	MEM	8
OP555981	OP555981	MEM	8
MZ291552	MZ291552	MEM	8
OP572230	OP572230	MEM	8
ON782582	ON782582	MEM	8
MG065650	MG065650	MEM	8
MW286157	MW286157	MEM	8
OP555980	OP555980	MEM	8
OL631483	OL631483	MEM	8
OR062526	OR062526	MEM	8
OR062529	OR062529	MEM	8
HM997020	HM997020	MEM	8
MF158046	MF158046	MEM	8
MH051333	MH051333	MEM	8
MK373788	MK373788	MEM	8
KX552041	KX552041	MEM	8
OL741432	OL741432	MEM	8
OR786310	OR786310	MEM	8
PP355091	PP355091	MEM	8
PQ438048	PQ438048	MEM	8
OR327750	OR327750	MEM	8
OR539221	OR539221	MEM	8
LC465543	LC465543	MEM	8
OR067838	OR067838	MEM	8
OM386656	OM386656	MEM	8
OR995200	OR995200	MEM	8
MZ234052	MZ234052	MEM	8
MZ234037	MZ234037	MEM	8
MZ234034	MZ234034	MEM	8
MZ234036	MZ234036	MEM	8
MZ234040	MZ234040	MEM	8
MZ234039	MZ234039	MEM	8
MZ234027	MZ234027	MEM	8
MZ234053	MZ234053	MEM	8
MZ234043	MZ234043	MEM	8
MZ234030	MZ234030	MEM	8
MZ234041	MZ234041	MEM	8
MZ234051	MZ234051	MEM	8
MZ234042	MZ234042	MEM	8
MZ234038	MZ234038	MEM	8
MZ234031	MZ234031	MEM	8
MZ234035	MZ234035	MEM	8
MK962752	MK962752	MEM	8
OL656107	OL656107	MEM	8
PP418986	PP418986	MEM	8
AP018932	AP018932	MEM	8
OR539220	OR539220	MEM	8
PP418987	PP418987	MEM	8
OQ689735	OQ689735	MEM	8
MK327945	MK327945	MEM	8
LC620505	LC620505	MEM	8
ON528738	ON528738	MEM	8
MK327939	MK327939	MEM	8
MZ753803	MZ753803	MEM	8
OQ992558	OQ992558	MEM	8
MT682709	MT682709	MEM	8
MT944117	MT944117	MEM	8
MZ726793	MZ726793	MEM	8
MH051916	MH051916	MEM	8
MW822007	MW822007	MEM	8
KM607000	KM607000	MEM	8
OP172791	OP172791	MEM	8
AP011113	AP011113	MEM	8
KU925172	KU925172	MEM	8
MT884007	MT884007	MEM	8
MT884006	MT884006	MEM	8
FJ839693	FJ839693	MEM	8
